State,GDP_17,GDP_18,GDP_19
Alabama,37508,40279,41389
Alaska,63610,70635,74422
Arizona,39583,42096,44161
Arkansas,36714,38467,39580
California,60359,67698,70662
Colorado,54026,59057,61311
Connecticut,62663,67784,69789
Delaware,63995,66023,64985
District of Columbia,174140,176534,178442
Florida,39842,43052,44267
Georgia,49623,50327,50816
Hawaii,52869,56880,58981
Idaho,36441,39843,40566
Illinois,55102,59980,61713
Indiana,46427,48738,49321
Iowa,52284,54101,55051
Kansas,47435,52297,53528
Kentucky,39227,41659,42386
Louisiana,44372,49606,51729
Maine,39521,42356,43541
Maryland,56375,60886,61926
Massachusetts,66500,72635,75258
Michigan,44201,46858,47448
Minnesota,54805,59057,60066
Mississippi,32447,34029,35015
Missouri,43036,46064,47407
Montana,39833,42173,44145
Nebraska,54654,58141,59386
Nevada,44812,48189,50043
New Hampshire,52509,55744,57272
New Jersey,56776,62263,63492
New Mexico,41619,44187,46304
New York,65220,73531,75131
North Carolina,44706,47778,48496
Ohio,48188,51456,52664
Oklahoma,44535,48954,50879
Oregon,51312,50996,52726
Pennsylvania,51841,55602,56868
Rhode Island,48314,50827,51963
South Carolina,37637,39883,41457
North Dakota,54083,55884,56247
South Dakota,48004,51997,52913
Tennessee,44348,47695,48440
Texas,53737,58417,61682
Utah,45493,49740,51407
Vermont,44831,47921,48855
Virginia,52124,55929,56938
Washington,59333,67242,69761
West Virginia,37353,39495,40265
Wisconsin,48666,51575,52534
Wyoming,61091,66413,67915